始発停留所	山島台四丁目-B	南四十万二丁目	南部車庫（車庫内）	山島台四丁目-B	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	山島台四丁目-B	南四十万二丁目	山島台四丁目-B	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目	南部車庫（車庫内）	南部車庫（車庫内）	南四十万二丁目				
始発時間	07:33	08:07	08:13	08:38	09:14	09:43	10:13	10:48	11:13	11:43	12:13	12:43	13:08	13:47	14:08	14:43	15:17	15:48	16:18	16:47	17:23	18:00	18:42	19:18	20:05	20:52				
終点時間	08:38	09:03	09:13	09:43	10:15	10:48	11:18	11:49	12:18	12:44	13:18	13:48	14:18	14:48	15:18	15:48	16:18	16:53	17:23	17:48	18:28	19:05	19:43	20:18	21:05	21:48				
終点停留所	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A	金石-A				
備考					ノンステップバス			ノンステップバス			ノンステップバス											ノンステップバス		ノンステップバス		ノンステップバス				
金沢駅西口【６】	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
広岡-A	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
西念南-A	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
西念西-A	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
駅西合庁前（西念南から）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
県庁前-A	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
藤江北-A	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
松村-A	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
市立工業高校前-A	08:23	08:48	08:58	09:28	09:56	10:29	10:59	11:30	11:59	12:25	12:59	13:29	13:59	14:29	14:59	15:29	15:59	16:34	17:04	17:29	18:09	18:46	19:24	20:03	20:50	21:33				
畝田-A	08:24	08:49	08:59	09:29	09:57	10:30	11:00	11:31	12:00	12:26	13:00	13:30	14:00	14:30	15:00	15:30	16:00	16:35	17:05	17:30	18:10	18:47	19:25	20:04	20:51	21:34				
観音堂-A	08:25	08:50	09:00	09:30	09:58	10:31	11:01	11:32	12:01	12:27	13:01	13:31	14:01	14:31	15:01	15:31	16:01	16:36	17:06	17:31	18:11	18:48	19:26	20:05	20:52	21:35				
寺中-A	08:27	08:52	09:02	09:32	10:00	10:33	11:03	11:34	12:03	12:29	13:03	13:33	14:03	14:33	15:03	15:33	16:03	16:38	17:08	17:33	18:13	18:50	19:28	20:07	20:54	21:37				
西警察署前-A	08:28	08:53	09:03	09:33	10:01	10:34	11:04	11:35	12:04	12:30	13:04	13:34	14:04	14:34	15:04	15:34	16:04	16:39	17:09	17:34	18:14	18:51	19:29	20:08	20:55	21:38				
金石-A	08:38	09:03	09:13	09:43	10:15	10:48	11:18	11:49	12:18	12:44	13:18	13:48	14:18	14:48	15:18	15:48	16:18	16:53	17:23	17:48	18:28	19:05	19:43	20:18	21:05	21:48				
